ident,type,lat,lon,name,country
ADDIL,fix,28.40191666,-99.68268333,ADDIL,US
ADDIV,fix,39.37692777,-94.73388055,ADDIV,US
ADDMM,fix,37.77102777,-121.70858611,ADDMM,US
ADDMO,fix,34.23301111,-96.93228888,ADDMO,US
ADDPO,fix,7.88611111,132.09027777,ADDPO,US
ADDUG,fix,35.91456666,-114.78011944,ADDUG,US
ADDUM,fix,45.53162777,-122.45875277,ADDUM,US
ADDVL,fix,33.37175833,-96.36123055,ADDVL,US
ADDYY,fix,29.666025,-98.45041388,ADDYY,US
ADECE,fix,60.74540555,-151.79308055,ADECE,US
ADECI,fix,40.87173055,-86.05655833,ADECI,US
ADECY,fix,17.93833333,-66.53079722,ADECY,US
ADEDE,fix,13.44139166,144.70200277,ADEDE,US
ADEDY,fix,43.05140555,-99.29481944,ADEDY,US
ADEEL,fix,35.97636944,-78.75887222,ADEEL,US
ADEEM,fix,34.42667777,-119.89362222,ADEEM,US
ADEER,fix,37.97099444,-101.07361111,ADEER,US
ADEGE,fix,35.36861388,-79.02810555,ADEGE,US
ADEIN,fix,36.24974722,-82.78303055,ADEIN,US
ADEKE,fix,39.05530833,-96.76193611,ADEKE,US
ADELA,fix,38.71491388,-97.23614722,ADELA,US
ADELE,fix,43.18075277,-87.85471111,ADELE,US
ADELL,fix,41.24972222,-88.25,ADELL,US
ADELY,fix,40.86667222,-91.37033611,ADELY,US
ADEME,fix,43.61178055,-93.22495833,ADEME,US
ADEMR,fix,32.86231944,-65.16488055,ADEMR,US
ADEMS,fix,32.45375,-96.74895833,ADEMS,US
ADENE,fix,42.72812222,-90.46820555,ADENE,US
ADENO,fix,45.03064444,-85.220425,ADENO,US
ADEOS,fix,36.88021666,-102.15200555,ADEOS,US
ADEPT,fix,34.70694444,-80.15583333,ADEPT,US
ADERR,fix,30.26851388,-81.43235,ADERR,US
ADERY,fix,32.94799722,-80.123275,ADERY,US
ADESE,fix,44.444125,-103.43276666,ADESE,US
ADETE,fix,34.90186944,-85.325475,ADETE,US
ADEVE,fix,41.16045555,-83.49860277,ADEVE,US
ADEWU,fix,40.21953611,-103.324075,ADEWU,US
ADEXE,fix,43.50466388,-116.44825555,ADEXE,US
ADEYO,fix,42.9614,-89.4321,ADEYO,US
ADEYU,fix,35.97111388,-85.82564722,ADEYU,US
ADFIN,fix,44.33718611,-73.31977222,ADFIN,US
ADGAY,fix,25.86915555,-80.21499444,ADGAY,US
ADGEW,fix,43.20925833,-93.44074166,ADGEW,US
ADHER,fix,41.78869444,-70.46523333,ADHER,US
ADIAN,fix,35.57580833,-84.51195,ADIAN,US
ADIBE,fix,39.10306666,-110.73063055,ADIBE,US
ADICA,fix,39.28145833,-98.12237222,ADICA,US
ADICE,fix,43.32380555,-71.21865,ADICE,US
ADIER,fix,47.02768333,-93.44306388,ADIER,US
ADIKE,fix,41.74835,-90.25340277,ADIKE,US
ADILE,fix,44.48361944,-69.0666,ADILE,US
ADIME,fix,41.95635,-86.21430833,ADIME,US
ADING,fix,41.09441388,-111.95951666,ADING,US
ADIOS,fix,38.45698055,-78.70294722,ADIOS,US
ADIPY,fix,32.02235555,-101.62685833,ADIPY,US
ADIRE,fix,34.91320833,-116.54288611,ADIRE,US
ADISN,fix,4.02388888,-175.3525,ADISN,US
ADITE,fix,58.26698888,-134.37657777,ADITE,US
ADITS,fix,37.30235555,-97.15015277,ADITS,US
ADIUM,fix,40.42291666,-74.79566944,ADIUM,US
ADIVE,fix,32.04757222,-90.95824444,ADIVE,US
ADIXE,fix,35.25726388,-96.41676944,ADIXE,US
ADIYI,fix,42.12853888,-86.54865277,ADIYI,US
ADJAX,fix,41.62309166,-73.68029444,ADJAX,US
ADKAW,fix,36.29155,-80.36034444,ADKAW,US
ADKUH,fix,59.55599444,-139.75249166,ADKUH,US
ADLEC,fix,28.46002222,-178.00259722,ADLEC,US
ADLEN,fix,64.77304166,-169.78166388,ADLEN,RU
ADLER,fix,40.72504166,-89.80513055,ADLER,US
ADLEY,fix,45.69258055,-85.69643888,ADLEY,US
ADLIW,fix,28.95298333,-99.01308888,ADLIW,US
ADLMN,fix,41.98222222,-88.51206944,ADLMN,US
ADLOW,fix,44.75757222,-123.19932222,ADLOW,US
ADLYN,fix,30.598325,-82.31669722,ADLYN,US
ADMCK,fix,42.50187777,-83.62527222,ADMCK,US
ADMEW,fix,63.92654444,-152.20970277,ADMEW,US
ADMEY,fix,26.10555833,-97.57585277,ADMEY,US
ADMIF,fix,38.03021111,-120.62563888,ADMIF,US
ADMRL,fix,58.18594722,-134.65613055,ADMRL,US
ADNIL,fix,27.77688055,-82.58604722,ADNIL,US
ADNOY,fix,35.92484166,-85.19423611,ADNOY,US
ADNUC,fix,39.65119444,-106.85355,ADNUC,US
ADOBE,fix,34.6649,-99.5657,ADOBE,US
ADOFO,fix,35.07755555,-88.23159444,ADOFO,US
ADOGE,fix,41.66700833,-106.63775,ADOGE,US
ADOJA,fix,45.971225,-121.36027777,ADOJA,US
ADOKE,fix,36.44103611,-93.13314444,ADOKE,US
ADOKY,fix,32.16108055,-88.22976111,ADOKY,US
ADOLE,fix,42.64613611,-73.846625,ADOLE,US
ADOMS,fix,32.71567777,-80.510075,ADOMS,US
ADOMY,fix,47.70366111,-96.45576944,ADOMY,US
ADONE,fix,25.27186388,-80.48533055,ADONE,US
ADONY,fix,32.52455555,-85.43611111,ADONY,US
ADOOR,fix,29.400075,-78.55569444,ADOOR,US
ADOPE,fix,28.51388888,-148.825,ADOPE,US
ADOPT,fix,29.311,-100.72007777,ADOPT,US
ADORE,fix,33.90786111,-118.49113611,ADORE,US
ADORY,fix,33.45485277,-102.37581944,ADORY,US
ADOSE,fix,42.35971666,-89.36570833,ADOSE,US
ADOTE,fix,26.07661388,-80.10924722,ADOTE,US
ADOVE,fix,34.03600833,-117.09654722,ADOVE,US
ADOWA,fix,13.70722222,-165.82638888,ADOWA,US
ADOWN,fix,35.43809444,-81.68218611,ADOWN,US
ADOWS,fix,36.09463611,-97.914825,ADOWS,US
ADOYI,fix,39.64006111,-119.76641388,ADOYI,US
ADOYU,fix,39.14545277,-75.46384444,ADOYU,US
ADOZE,fix,68.11657777,-162.822475,ADOZE,US
ADOZO,fix,36.40574444,-104.89934166,ADOZO,US
ADRAN,fix,41.16030555,-79.52675555,ADRAN,US
ADRAY,fix,34.93463611,-92.37380833,ADRAY,US
ADREW,fix,69.169675,-141.00253611,ADREW,US
ADRIE,fix,42.95827777,-83.11384444,ADRIE,US
ADRIW,fix,37.73450555,-89.68690277,ADRIW,US
ADROW,fix,39.19037777,-81.63600555,ADROW,US
ADRRI,fix,37.68603888,-77.32431111,ADRRI,US
ADRUM,fix,40.91796944,-98.65891944,ADRUM,US
ADRYN,fix,33.91905,-117.56131944,ADRYN,US
ADTIL,fix,34.97833333,-134.70388888,ADTIL,US
ADTIN,fix,13.45748888,144.68985833,ADTIN,US
ADTOP,fix,32.38775277,-88.03696666,ADTOP,US
ADTOQ,fix,70.3988,-150.73140277,ADTOQ,US
ADUBE,fix,26.01241944,-80.85181666,ADUBE,US
ADUBY,fix,30.656625,-85.63866388,ADUBY,US
ADUCA,fix,33.41273333,-91.37087777,ADUCA,US
ADUCI,fix,31.35810555,-77.82243611,ADUCI,US
ADUDE,fix,33.17032777,-116.17055,ADUDE,US
ADUFO,fix,7.24387222,157.77266111,ADUFO,US
ADUGE,fix,38.84003611,-122.56979166,ADUGE,US
ADUKE,fix,31.88243055,-94.21646666,ADUKE,US
ADUME,fix,38.44391388,-75.12866944,ADUME,US
ADUMM,fix,33.86665833,-128.78454444,ADUMM,US
ADUMS,fix,40.02284166,-85.33394722,ADUMS,US
ADUMY,fix,36.70272777,-107.91220277,ADUMY,US
ADUNC,fix,30.87460555,-83.19619722,ADUNC,US
ADUNE,fix,33.486575,-117.211025,ADUNE,US
ADUPE,fix,39.52658611,-77.38265,ADUPE,US
ADUPY,fix,37.02731111,-84.17349444,ADUPY,US
ADUTE,fix,48.28797222,-99.83214722,ADUTE,US
ADUVE,fix,48.125025,-122.61266111,ADUVE,US
ADUWU,fix,42.14400555,-97.60286388,ADUWU,US
ADUXE,fix,34.75745,-114.612725,ADUXE,US
ADUYA,fix,30.59571944,-81.64101388,ADUYA,US
ADVAY,fix,39.92298055,-86.5239,ADVAY,US
ADVIK,fix,45.13444444,-74.77583333,ADVIK,CA
ADVLL,fix,18.11811388,-65.82841388,ADVLL,US
ADWAT,fix,39.0,-118.5,ADWAT,US
